Subject,Start Date,Start Time,End Time,Description,Location,Repeat
各類文學選讀,03/11/2025,10:10 AM,11:00 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
補強-數學,03/12/2025,10:10 AM,11:00 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
英文閱讀與寫作,03/13/2025,10:10 AM,11:00 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
選修化學-有機化學與應用科技,03/14/2025,10:10 AM,11:00 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
語文表達與傳播應用,03/10/2025,11:10 AM,12:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
補強-數學,03/11/2025,11:10 AM,12:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
體育,03/12/2025,11:10 AM,12:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
選修化學-化學反應與平衡二,03/13/2025,11:10 AM,12:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
選修化學-有機化學與應用科技,03/14/2025,11:10 AM,12:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
選修化學-化學反應與平衡二,03/10/2025,01:10 PM,02:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
英語聽講,03/11/2025,01:10 PM,02:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
選修物理-電磁現象一,03/12/2025,01:10 PM,02:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
數學甲,03/13/2025,01:10 PM,02:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
健康與護理,03/14/2025,01:10 PM,02:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
英文閱讀與寫作,03/10/2025,02:10 PM,03:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
英語聽講,03/11/2025,02:10 PM,03:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
選修物理-電磁現象一,03/12/2025,02:10 PM,03:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
各類文學選讀,03/13/2025,02:10 PM,03:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
數學甲,03/14/2025,02:10 PM,03:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
彈性-物理,03/10/2025,03:10 PM,04:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
彈性-化學,03/11/2025,03:10 PM,04:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
音樂,03/12/2025,03:10 PM,04:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
彈性-英文,03/13/2025,03:10 PM,04:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
數學甲,03/14/2025,03:10 PM,04:00 PM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
